mean,median,std,mad,min,max,p25,p75,iqr,sali_ecfp,sali_rdkit,sali_maccs,sali_chemberta,sali_avg,mae_ratio,mae_llm_avg,mae_ml_avg,label,task,property,taskprop_name,esol_col,tsne_x,tsne_y
203.93707446808511,182.179,102.73807720680973,70.13749999999997,16.043,780.9490000000001,121.18299999999996,270.372,149.18900000000005,1.181490401,1.184680807,1.336241953,2.265726749,1.492034977,0.28693399,12.43954857,43.35334612,1,raw,mw,Raw $\mathtt{MW}$,Molecular Weight,4.4569235,-6.6685395
2.447519539007093,2.3390000000000004,1.8528751117332587,0.9858000000000016,-7.571399999999989,10.388599999999993,1.4149,3.4022000000000014,1.9873000000000014,1.472357081,1.493978082,1.675809338,2.975592261,1.904434191,0.736487965,0.736023443,0.999369273,1,raw,logp,Raw $\mathtt{logP}$,LogP,1.7837563,-4.609634
0.4443950171808939,0.35714285714285715,0.37497991830544414,0.35714285714285715,0.0,1.0,0.1,0.8,0.7000000000000001,0.848404393,0.849439192,0.933212276,1.655691952,1.071686953,1.130662881,0.119224431,0.105446489,0,raw,sp3,Raw sp3,sp3,5.7798524,-2.359027
34.87288120567376,26.3,35.38359265570078,26.3,0.0,268.67999999999995,0.0,55.44,55.44,1.030945711,1.036014449,1.140760313,1.942130355,1.287462707,0.99195958,11.89147143,11.98785884,0,raw,tpsa,Raw $\mathtt{TPSA}$,TPSA,4.1665683,-5.2987523
54.01595886524824,48.522900000000035,25.27930227641485,17.35450000000005,6.731,192.61079999999944,34.41549999999999,72.25845000000004,37.84295000000005,1.184252587,1.184640441,1.341023058,2.277818621,1.496933677,0.857682303,8.667753143,10.10601841,1,raw,mr,Raw $\mathtt{MR}$,MolMR,4.171885,-5.917909
4.8989304370546165,4.264428431448854,2.6145095012206547,1.6024218788696742,0.0,20.940873252225256,2.951880756749417,6.486489519016762,3.5346087622673448,1.292031825,1.29607169,1.466829205,2.518578206,1.643377732,0.863452771,1.038331914,1.202534695,1,raw,chi,Raw $\mathtt{Chi1v}$,Chi,2.5504684,-4.456138
-0.9197695035460993,-0.9200000000000002,1.0099824469254575,0.7200000000000002,-4.679999999999999,3.48,-1.5899999999999999,-0.11000000000000015,1.4799999999999998,1.144719189,1.149130036,1.278480139,2.196570582,1.442224986,0.957309276,0.440914286,0.460576636,1,raw,hka,Raw $\mathtt{HKA}$,HKA,3.2888184,-3.9309268
2.6761847656626156,2.722817654664305,0.573412897866664,0.35484278330624885,0.0,4.80781070887242,2.304980740164257,3.0316098069448976,0.7266290667806405,1.300265007,1.313878631,1.479792982,2.692544626,1.696620312,1.323981192,0.460257155,0.347631189,0,raw,bj,Raw $\mathtt{BJ}$,BJ,5.231551,0.94926316
0.16478217193208078,0.0,0.7081773716816697,0.6744907594765952,-0.6744907594765952,1.2140833670578712,-0.4856333468231485,0.8363685417509781,1.3220018885741265,0.848404393,0.849439192,0.933212276,1.655691952,1.071686953,1.388102146,0.2767336,0.199361121,0,robust_zscore,sp3,Robust Standardized sp3,sp3_robust_zscore,6.8375125,0.83661395
0.21986042415655982,0.0,0.907448908112323,0.6744907594765952,-0.6744907594765952,6.216086322507114,-0.6744907594765952,0.7473255030854746,1.4218162625620698,1.030945711,1.036014449,1.140760313,1.942130355,1.287462707,1.110244913,0.363108041,0.3270522,0,robust_zscore,tpsa,Robust Standardized $\mathtt{TPSA}$,TPSA_robust_zscore,4.865043,-2.3998084
-0.08864053095928778,4.2197148553135833e-16,1.0899522807596878,0.6744907594765948,-5.175574745240894,3.963187684227287,-0.7942309976620326,0.5869569936621605,1.3811879913241931,1.300265007,1.313878631,1.479792982,2.692544626,1.696620312,1.227320799,0.79062896,0.644190957,0,robust_zscore,bj,Robust Standardized $\mathtt{BJ}$,BJ_robust_zscore,4.3274045,-0.046851624
209.2407082192415,0.0,988.0004808039379,674.4907594765953,-1597.678799734859,5758.186876518284,-586.5797663879443,848.1249481449922,1434.7047145329366,1.181490401,1.184680807,1.336241953,2.265726749,1.492034977,1.274207863,519.6746537,407.8413489,0,lt,mw,Scaled Robust Standardized $\mathtt{MW}$,Molecular Weight_lt,-0.7202918,-9.088652
164.78217193208076,0.0,708.1773716816698,674.4907594765953,-674.4907594765953,1214.0833670578713,-485.63334682314854,836.3685417509781,1322.0018885741267,0.848404393,0.849439192,0.933212276,1.655691952,1.071686953,1.483601376,293.6205563,197.9106794,0,lt,sp3,Scaled Robust Standardized sp3,sp3_lt,0.07003384,-8.941454
219.86042415655982,0.0,907.448908112323,674.4907594765953,-674.4907594765953,6216.086322507114,-674.4907594765953,747.3255030854747,1421.8162625620698,1.030945711,1.036014449,1.140760313,1.942130355,1.287462707,1.225898778,387.4069757,316.0187306,0,lt,tpsa,Scaled Robust Standardized $\mathtt{TPSA}$,TPSA_lt,-0.2791818,-9.457817
213.49030198916108,-1.3811174426336947e-13,982.491906505945,674.490759476595,-1624.2617402385467,5600.043625710163,-548.2906992561079,922.4932522455069,1470.7839515016149,1.184252587,1.184640441,1.341023058,2.277818621,1.496933677,1.095494027,422.1902392,385.3879882,0,lt,mr,Scaled Robust Standardized $\mathtt{MR}$,MolMR_lt,-0.68720144,-9.337478
267.07432374321706,0.0,1100.4982660253086,674.4907594765953,-1794.981464862697,7019.442308457037,-552.477028447553,935.309040846516,1487.786069294069,1.292031825,1.29607169,1.466829205,2.518578206,1.643377732,1.02217779,490.1234143,479.4893992,1,lt,chi,Scaled Robust Standardized $\mathtt{Chi1v}$,Chi_lt,-0.9340782,-9.654127
