task,property,taskprop_name,mae_llm_avg,mae_ml_avg,mae_ratio,sali_ecfp,sali_rdkit,sali_maccs,sali_chemberta,sali_avg,stat_mean,stat_median,stat_std,stat_var,stat_min,stat_max,stat_range,stat_q25,stat_q75,stat_iqr,stat_skewness,stat_kurtosis,stat_cv,stat_mad,stat_gini,stat_entropy,stat_energy,stat_rms,stat_p10,stat_p90,stat_p90_p10_ratio,stat_outlier_ratio,stat_z_score_max,tsne_1,tsne_2
raw,mw,Raw $\mathtt{MW}$,12.439548571428615,43.35334611922168,0.2869339897598645,1.1814904006384832,1.184680806876426,1.3362419534601713,2.265726748893377,1.4920349774671142,0.2092407082192415,0.0,0.987562440223416,0.9752795733400281,-1.597678799734859,5.758186876518284,7.355865676253143,-0.5865797663879443,0.8481249481449923,1.4347047145329366,0.9058988861349121,1.2424511313803563,4.719743345490173,0.6744907594765952,0.4011052291296937,1.6411443142801776,1149.501086972581,1.0094856350221721,-0.8978932543783663,1.5787512258578071,-1.7582838698645131,0.008865248226950355,5.618830711143394,124.46942,-337.40802
raw,logp,Raw $\mathtt{logP}$,0.7360234428571427,0.9993692734166297,0.7364879653952497,1.472357081389028,1.4939780816387165,1.6758093381042345,2.9755922613421237,1.9044341906185256,0.07424977306040154,1.519238294195313e-16,1.2671871095214196,1.6057631705372502,-6.78076001492882,5.507588575251356,12.288348590180176,-0.6322752189412871,0.727448341930935,1.3597235608722222,0.04192534186932003,2.4102884236991864,17.066545220152715,0.674490759476595,0.47076212839654685,1.4359885458046249,1817.519552851878,1.2693605474162064,-1.256757325942588,1.616205206335194,-1.2860121624925605,0.04964539007092199,5.409627146995019,94.68122,578.615
raw,sp3,Raw sp3,0.11922443075644197,0.10544648875032088,1.1306628809494537,0.848404392811493,0.8494391921330141,0.93321227577527,1.6556919518393658,1.0716869531397857,0.16478217193208078,0.0,0.7078633936694814,0.5010705840972751,-0.6744907594765952,1.2140833670578712,1.8885741265344664,-0.4856333468231485,0.8363685417509781,1.3220018885741265,0.27667520750937474,-1.4403984726368557,4.295752297531589,0.6744907594765952,0.3274995214194161,2.1067295911191057,595.8363880642719,0.7267900303966263,-0.6744907594765952,1.2140833670578712,-1.800000000266868,0.0,1.4823498495752625,49.36837,-904.5956
raw,tpsa,Raw $\mathtt{TPSA}$,11.891471428571426,11.987858843280643,0.9919595804414028,1.0309457112841829,1.0360144490831769,1.1407603127551025,1.9421303552359703,1.287462707089608,0.21986042415655982,0.0,0.9070465809331095,0.8227334999824439,-0.6744907594765952,6.216086322507114,6.890577081983709,-0.6744907594765952,0.7473255030854746,1.4218162625620698,1.4502445374689987,3.4883751889975825,4.12555640430864,0.6744907594765952,0.4320653287787346,1.2841073810796992,982.5693356726179,0.93331243755387,-0.6744907594765952,1.3087685337494188,-1.940380228424569,0.010638297872340425,6.610714404746483,-64.07419,-729.5239
raw,mr,Raw $\mathtt{MR}$,8.66775314285714,10.106018405092906,0.8576823032985024,1.1842525869140668,1.1846404414467098,1.3410230578686086,2.277818621311324,1.4969336768851773,0.21349030198916108,-1.3812735677465326e-16,0.9820563082107563,0.9644345924965398,-1.6242617402385466,5.600043625710163,7.22430536594871,-0.548290699256108,0.9224932522455069,1.4707839515016148,0.8003606268050266,0.9533527700346744,4.600004304929108,0.674490759476595,0.3947693058420876,1.6528098588344775,1139.2943273370781,1.0049938813445398,-0.8908742509851912,1.5503773201464774,-1.7402874969233764,0.004432624113475178,5.484974006770505,300.77658,-217.32292
raw,chi,Raw $\mathtt{Chi1v}$,1.0383319138505684,1.202534694643766,0.8634527706147885,1.2920318250036869,1.296071689797297,1.466829204872013,2.518578206486791,1.643377731539947,0.26707432374321705,0.0,1.100010348348466,1.2100227664737138,-1.7949814648626972,7.019442308457037,8.814423773319735,-0.552477028447553,0.935309040846516,1.487786069294069,1.16705078866187,2.3465678566693606,4.118742426943628,0.6744907594765952,0.43504586475312435,1.5412617190805094,1445.3644478688166,1.1319679592977048,-0.8669826533489354,1.7949327526114285,-2.070321414027245,0.012411347517730497,6.1384586016410605,64.4162,-134.39717
raw,hka,Raw $\mathtt{HKA}$,0.44091428571428576,0.46057663552205236,0.9573092764779964,1.1447191886139154,1.1491300356196503,1.2784801390733458,2.196570581606798,1.4422249862284273,0.00021592740034486594,0.0,0.9457247219647381,0.8943952497352813,-3.5223406328222175,4.1218879745791925,7.64422860740141,-0.6276511234018313,0.7588021044111695,1.3864532278130008,-0.0036851793473200306,0.19530941508825705,4379.827295907258,0.6744907594765952,0.39045233047507666,1.6391592958643009,1008.8778942939937,0.9457247466149564,-1.2768484793980537,1.1204040949083454,-0.8774761556079751,0.0035460992907801418,4.358215399737141,500.0123,313.78253
raw,bj,Raw $\mathtt{BJ}$,0.46025715537735107,0.3476311885453594,1.323981191973217,1.300265006856398,1.3138786308548132,1.4797929823640643,2.692544626481185,1.6966203116391152,-0.08864053095928778,4.2197148553135833e-16,1.0894690387582096,1.1869427864127369,-5.175574745240894,3.963187684227287,9.13876242946818,-0.7942309976620326,0.5869569936621605,1.3811879913241931,0.07339115757843453,0.9884596064888216,-12.290867698644517,0.6744907594765948,0.42386837464620664,1.5804661175331582,1347.7343211995908,1.0930690417999593,-1.4547736866992345,1.063782523838137,-0.7312357472761956,0.020390070921985817,4.669186579253099,442.368,584.2856
robust_zscore,mw,Robust Standardized $\mathtt{MW}$,0.5038377920430449,0.4294986819010819,1.1730834418697567,1.1814904006384832,1.184680806876426,1.3362419534601713,2.265726748893377,1.4920349774671142,0.2092407082192415,0.0,0.987562440223416,0.9752795733400281,-1.597678799734859,5.758186876518284,7.355865676253143,-0.5865797663879443,0.8481249481449923,1.4347047145329366,0.9058988861349121,1.2424511313803563,4.719743345490173,0.6744907594765952,0.4011052291296937,1.6411443142801776,1149.501086972581,1.0094856350221721,-0.8978932543783663,1.5787512258578071,-1.7582838698645131,0.008865248226950355,5.618830711143394,124.46942,-337.40802
robust_zscore,logp,Robust Standardized $\mathtt{logP}$,0.6561009040745281,0.6782391762229809,0.9673591958050289,1.472357081389028,1.4939780816387165,1.6758093381042345,2.9755922613421237,1.9044341906185256,0.07424977306040154,1.519238294195313e-16,1.2671871095214196,1.6057631705372502,-6.78076001492882,5.507588575251356,12.288348590180176,-0.6322752189412871,0.727448341930935,1.3597235608722222,0.04192534186932003,2.4102884236991864,17.066545220152715,0.674490759476595,0.47076212839654685,1.4359885458046249,1817.519552851878,1.2693605474162064,-1.256757325942588,1.616205206335194,-1.2860121624925605,0.04964539007092199,5.409627146995019,94.68122,578.615
